file_path,caption
train/violin1.npy,A large stringed instrument and a pair of violins are playing.
train/violin1.npy,A musical instrument creates a tune and is followed by other instruments.
train/violin1.npy,An orchestra practicing for an upcoming concert in an enclosed room.
train/121006_rain&amp;storm.npy,"As thunder claps far in the distance, the rain pours down."
train/121006_rain&amp;storm.npy,Rain pours down and thunder claps far in the distance.
train/121006_rain&amp;storm.npy,Substantial rain and wind are pouring and spouting around and thunder is available.
train/121006_rain&amp;storm.npy,The rain falls down the thunder is rumbling as someone is pounding and a car passes.
train/121006_rain&amp;storm.npy,"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling"
train/draaiorgel2.npy,Something goes round that is playing its song.
train/draaiorgel2.npy,"At the fair, music is playing near a carousel through the speaker."
train/draaiorgel2.npy,"Chiming of bells, whistles and horns at a performance."
train/draaiorgel2.npy,Fair kind music is being played at the circus grounds.
train/draaiorgel2.npy,Polka or fair kind of music is being played.
train/Officejet Printer.npy,A paper printer is printing off multiple pages.
train/Officejet Printer.npy,A printer printing off multiple pages of paper
train/Officejet Printer.npy,A small printing device performing duties and printing pages of text.
train/Officejet Printer.npy,A tiny printer performs its duties and prints the words.
train/Officejet Printer.npy,An automatic cutter feeds paper and cuts it.
train/Stockholm subway C20 train departing.npy,"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off."
train/Stockholm subway C20 train departing.npy,"A horn beeps for an amusement park ride, air brakes release and the ride takes off."
train/Stockholm subway C20 train departing.npy,"A warning button sounds, then a vehicle goes at a high speed."
train/Stockholm subway C20 train departing.npy,"After a horn beeps for an amusement park ride, the air brakes release and the ride begins."
train/Stockholm subway C20 train departing.npy,"First comes a beeping sound, then a door closing, then the train starts to speed up."
train/metalTunnel.npy,A very robotic synth modulates and reverberates within itself
train/metalTunnel.npy,An interesting instrument whose sound is going up and down.
train/metalTunnel.npy,The synth is reverberated at an rhythmic meter
train/metalTunnel.npy,it is like a iron rod cutting sound and it is a workshop
train/metalTunnel.npy,it is like an iron rod cutting sound and it is a workshop
train/Ambience Night crickets.npy,A serene bit of nightfall is met by crickets chirping
train/Ambience Night crickets.npy,Crickets chirp in the background as a soft wind blows.
train/Ambience Night crickets.npy,Crickets chirping outdoors at night with a gentle breeze blowing.
train/Ambience Night crickets.npy,"In the calmness of nightfall, crickets are chirping."
train/Ambience Night crickets.npy,"While the wind softly blows, crickets chirp in the background."
train/Maria Hernandez Park September 1st.npy,A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.
train/Maria Hernandez Park September 1st.npy,A skateboarder rides his board up and down a ramp as people speak in the background.
train/Maria Hernandez Park September 1st.npy,People skateboard with some children who are faintly speaking.
train/Maria Hernandez Park September 1st.npy,Boards with small wheels are being ridden while children are quietly speaking.
train/Maria Hernandez Park September 1st.npy,People skateboard around at the park while chatting and laughing.
train/Traffic Light.npy,A group of people is standing on the street near a busy freeway.
train/Traffic Light.npy,A group of people standing on the street near a busy freeway.
train/Traffic Light.npy,A detector device is operating and detecting nothing and then it registers some activity.
train/Traffic Light.npy,An electric machine is operating and detecting nothing and then it suddenly detects some activity.
train/Traffic Light.npy,Unidentified squeaking occurs several times while men talk in the background.
train/jettish.npy,"A sweeping swaying sound rising upward repeatedly, then going downward repeatedly."
train/jettish.npy,A sweeping swishing sound becomes louder and fades repeatedly.
train/jettish.npy,Heavily distorted siren sounds make them sound like spacecraft.
train/jettish.npy,They sound like a spacecraft when their siren sounds are highly distorted.
train/jettish.npy,fancy alarm or alert system that is constantly going off
train/broken comms2.npy,A radio cycling through stations as it is being repaired.
train/broken comms2.npy,A radio that is trying to be tuned and fixed.
train/broken comms2.npy,A series of bleeps and bloops fire off randomly.
train/broken comms2.npy,The computer is beeping as a voice recording drags .
train/broken comms2.npy,Various computer noises go off as a voice call breaks up
train/wind3.npy,Air is being forced through a small opening and almost making whistling noises.
train/wind3.npy,The wind howled violently and shrilly then began to taper off.
train/wind3.npy,The wind is blowing through the corn field very loudly.
train/wind3.npy,The wind is heard whistling outside from inside.
train/wind3.npy,Wind howls violently and shrilly then begins to taper off.
train/Drinking Through Straw.npy,"A cold, icy drink is stirred and then sipped through a straw until it is gone."
train/Drinking Through Straw.npy,A person is pouring a drink and then taking a sip.
train/Drinking Through Straw.npy,A stone object rubs and hits against another object
train/Drinking Through Straw.npy,A straw is moving and audible as it whirls around the bottom of the drain.
train/Drinking Through Straw.npy,Someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty.
train/the swarm v31m3.npy,"A built up sound comprised of whining, chirping and other sounds that slowly dies off."
train/the swarm v31m3.npy,"A built up sound comprised of whirring, chirping and other sounds that slowly dies off."
train/the swarm v31m3.npy,A noisy vacuum cleaner is used in a confined space.
train/the swarm v31m3.npy,A vacuum cleaner with noisy bearings being used in a confined space.
train/the swarm v31m3.npy,Cranking noises turn to a low screeching that rises in volume until it is extremely loud.
train/Giant 1.npy,"A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background."
train/Giant 1.npy,"A person gurgling, while trying to mimic speech patterns, with some soft, intermittent metal clanging in the background."
train/Giant 1.npy,A person is making weird noises with his or her mouth.
train/Giant 1.npy,A person is speaking and is hard to understand.
train/Giant 1.npy,A person who has a hole in their neck is talking and they are hard to understand.
train/dull metal.npy,A person is making noise by tapping their fingernails on a solid surface.
train/dull metal.npy,Metal prongs rapping insistently against the concrete ground.
train/dull metal.npy,Tapping two metal sticks together a few times a second.
train/dull metal.npy,Two metal objects tapping into each other a number of times.
train/dull metal.npy,Water is dripping from the faucet into the sink.
train/Small Chain Clanging.npy,A person crunches through dried leaves on the ground.
train/Small Chain Clanging.npy,Aluminum candy papers are balled up in a hand.
train/Small Chain Clanging.npy,Somebody balling up aluminum candy papers in their hand.
train/Small Chain Clanging.npy,The chain of a necklace rattles inside a plastic cup.
train/Small Chain Clanging.npy,a person is stepping on the ground full of dried leaves
train/Hitting Tall Grass.npy,A person slowly clears high growth vegetation outdoors
train/Hitting Tall Grass.npy,It takes more force to weed and trim as time goes on.
train/Hitting Tall Grass.npy,Rocks are being thrown down on the ground.
train/Hitting Tall Grass.npy,Sand is being shoveled and dumped on the ground.
train/Hitting Tall Grass.npy,The sand that is being shoveled is being dumped on the nearby ground.
train/Thunder Storm Daytona 3.npy,A clap of thunder coupled with the running water.
train/Thunder Storm Daytona 3.npy,The plants in the forest are being blown and thrashed by the winds.
train/Thunder Storm Daytona 3.npy,The thunder begins to roar as the rain is drizzling.
train/Thunder Storm Daytona 3.npy,The thunder begins to roar while rain is drizzling.
train/Thunder Storm Daytona 3.npy,Water is running and a roar of thunder happens at the same time.
train/smoking in car.npy,A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.
train/smoking in car.npy,After the lighter clicks and lights the cigarette the man coughs.
train/smoking in car.npy,"Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs."
train/smoking in car.npy,"Striking the lighter, she lit the cigarette, pulled and began to cough."
train/smoking in car.npy,The person tried a few times to light the cigarette with a lighter and he inhales and coughs.
train/Huston we have a problem (before &amp; after cleaning).npy,A female voice communicates over a static walkie-talkie.
train/Huston we have a problem (before &amp; after cleaning).npy,Dispatcher and radio communication between people who are talking.
train/Huston we have a problem (before &amp; after cleaning).npy,People are talking with each other using radio communication.
train/Huston we have a problem (before &amp; after cleaning).npy,People are talking to each other on the radio.
train/Huston we have a problem (before &amp; after cleaning).npy,Someone on the radio talking to another person.
train/Subping03.npy,A bell sound rings and echoes and slowly returns.
train/Subping03.npy,A small quiet mechanical reading or beeping similar to a radar.
train/Subping03.npy,A soft mechanical bleeping which is reminiscent of radar.
train/Subping03.npy,"A sonar sound starting off strong then fading, to begin strong again and eventually quiet down."
train/Subping03.npy,Sonar is activated and its audio oscillates between strong and weak signals.
train/sheep on pasture.npy,A baby lamb baaing and an adult lamb baaing while walking through grass.
train/sheep on pasture.npy,A human mimics a lamb as it bleats.
train/sheep on pasture.npy,A lamb bleating while a human mimics it.
train/sheep on pasture.npy,Sheep bleat while birds chirp in the background.
train/sheep on pasture.npy,Sheep call out while birds chirp in the background.
train/je_footstepsCement.npy,A person walks on a scratchy surface in a frequent manner
train/je_footstepsCement.npy,A person wearing slides is dragging their feet while they walk.
train/je_footstepsCement.npy,Someone is walking down a sidewalk and dragging their feet a little bit.
train/je_footstepsCement.npy,Someone walking down a sidewalk and dragging their feet a little bit.
train/je_footstepsCement.npy,Someone walks by wearing flip flops as they clack and scrape along the sidewalk.
train/Geroezemoes.npy,"A great number of people of all sorts of ages converse with each other, including a small child."
train/Geroezemoes.npy,A group of people are having breakfast together in a cafeteria.
train/Geroezemoes.npy,A group of people eat breakfast together at a table in the cafeteria.
train/Geroezemoes.npy,A group or crowd of people speaking and shouting.
train/Geroezemoes.npy,A large of group of people composed of different ages talk to each other including a toddler.
train/paper01.npy,A book being flipped through over and over.
train/paper01.npy,A books whose page keeps being turned over.
train/paper01.npy,Flipping through a book to put emphasis on the movement of the paper.
train/paper01.npy,Some flipping the pages of a book with large leaves
train/paper01.npy,Someone flipping the large leaf pages of a book.
train/0400 Traffic_police.npy,A car idling then somebody blowing a whistle while motorcycles pass by
train/0400 Traffic_police.npy,A person blows a whistle at a busy city intersection.
train/0400 Traffic_police.npy,A person blows a whistle at a busy intersection.
train/0400 Traffic_police.npy,Several cars drive along a road while a police officer directs traffic.
train/0400 Traffic_police.npy,Several cars driving on a road and a whistle is sounding.
"train/Crowd ambience, eating popcorn.npy","A short distance away, a group of people engage in indistinguishable chatter."
"train/Crowd ambience, eating popcorn.npy","As time goes on, the bustling crowd chatter resonates."
"train/Crowd ambience, eating popcorn.npy",Many people were moving and discussing inside of a large hall.
"train/Crowd ambience, eating popcorn.npy",The activity of crowd chatter resonates as time goes on.
"train/Crowd ambience, eating popcorn.npy",people are talking loudly in the background indistinguishably
"train/Walking in a park, on gravel (wind) - Athens National Botanical Garden.npy","A person was walking on a sidewalk adjacent to a school, where children were playing on the playground."
"train/Walking in a park, on gravel (wind) - Athens National Botanical Garden.npy","As the wind begins to blow, background sounds like metal clanking and children screeching arise."
"train/Walking in a park, on gravel (wind) - Athens National Botanical Garden.npy",From outside the laundromat someone watches the clothes go round and round in the dryer
"train/Walking in a park, on gravel (wind) - Athens National Botanical Garden.npy",Metal clanks as the wind blows and the voices of children are screeching way in the background.
"train/Walking in a park, on gravel (wind) - Athens National Botanical Garden.npy",Someone walking down a sidewalk next to a school with kids on the playground playing.
train/Fan_Ventilation_Stereo 4.npy,A large industrial machine was whirring inside of a room.
train/Fan_Ventilation_Stereo 4.npy,A large industrial machine whirring inside of a room.
train/Fan_Ventilation_Stereo 4.npy,A loud mechanical whir is quite muffled by a distant nature sound.
train/Fan_Ventilation_Stereo 4.npy,A small engine runs with a small fan of a vehicle similar to a car.
train/Fan_Ventilation_Stereo 4.npy,Industry equipment being utilized inside a company warehouse
train/Cicadas and birds in a hot summer noon.npy,Animals and insects are making their usual sounds in a meadow.
train/Cicadas and birds in a hot summer noon.npy,Birds chirping outside while people are talking in the background.
train/Cicadas and birds in a hot summer noon.npy,"In a jungle, a flock of birds chirp among the flowing river."
train/Cicadas and birds in a hot summer noon.npy,"In the distance, different birds chirped at different times."
train/Cicadas and birds in a hot summer noon.npy,"The jungle with a lot of birds chirping, and potentially a river or waterfall nearby."
train/150209 Trevor Webb Beard Trimming.npy,A hair trimmer being used to cut hair.
train/150209 Trevor Webb Beard Trimming.npy,A pair of hair clippers is cutting through hair.
train/150209 Trevor Webb Beard Trimming.npy,The hair of a person is being cut with a hair trimmer.
train/150209 Trevor Webb Beard Trimming.npy,The buzz of an electric razor cutting the hair of someone.
train/150209 Trevor Webb Beard Trimming.npy,"The buzzing of an electric razor, as someone receives a hair cut."
train/16_Rain_Light_Ocean_44_16.npy,A camp fire crackles as the flames burn branches and leaves.
train/16_Rain_Light_Ocean_44_16.npy,A camp fire is crackling as it burns up branches and leaves.
train/16_Rain_Light_Ocean_44_16.npy,A whir close by and cracking occurs because of a small fire.
train/16_Rain_Light_Ocean_44_16.npy,A whir nearby and then cracking is apparent from a small fire.
train/16_Rain_Light_Ocean_44_16.npy,The rain is falling and dripping without other noise.
train/160718 HSN boy on tricycle passing by.npy,A lot of noise is coming from a factory engine.
train/160718 HSN boy on tricycle passing by.npy,A person shredding paper in a paper shredder.
train/160718 HSN boy on tricycle passing by.npy,A shredder is on and a person puts a charge card into the shredder.
train/160718 HSN boy on tricycle passing by.npy,Someone is playing with a remote control car
train/160718 HSN boy on tricycle passing by.npy,a factory engine is making a lot of noise
train/remix of 130879__frederic-font__05-hang-song-1.npy,An upbeat melody of music is repeatedly playing.
train/remix of 130879__frederic-font__05-hang-song-1.npy,Multiple phase music is being played with a rhythmic beat.
train/remix of 130879__frederic-font__05-hang-song-1.npy,Music is being played with a steady beat.
train/remix of 130879__frederic-font__05-hang-song-1.npy,Someone playing an instrument at a constant rate and tune.
train/remix of 130879__frederic-font__05-hang-song-1.npy,an upbeat music melody is playing over and over again
train/2 Gardener - May 2013 - Take01 - ZOOM H2n.npy,A hand held sander was used as various speeds.
train/2 Gardener - May 2013 - Take01 - ZOOM H2n.npy,A power tool is being used to cut grass.
train/2 Gardener - May 2013 - Take01 - ZOOM H2n.npy,A weed whacker trimming edges from a lawn.
train/2 Gardener - May 2013 - Take01 - ZOOM H2n.npy,A weed whacker trims the edges of a lawn.
train/2 Gardener - May 2013 - Take01 - ZOOM H2n.npy,Someone is operating a weed eater power tool.
train/fridaynight.npy,A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.
train/fridaynight.npy,Apparatus running and a melodic instrument being played in the meantime.
train/fridaynight.npy,"Traffic roars, a distant siren sounds, and a street performer plays music."
train/fridaynight.npy,someone is playing the trumpet as cars and people are passing by
train/fridaynight.npy,someone is playing the trumpet while cars and people are passing by
train/ClockTicking.npy,A machine is making a loud clicking noise.
train/ClockTicking.npy,A pendulum moves back and forth and a pendulum ticks.
train/ClockTicking.npy,A pendulum ticks as it moves back and forth.
train/ClockTicking.npy,The machine is making a loud clicking noise.
train/ClockTicking.npy,the ticktocking of a loud clock in the foreground
train/Running.npy,"Chains are rattling while a horse is moving, then a man coughs."
train/Running.npy,"Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough."
train/Running.npy,Someone is running with their keys just a jingling and then coughs.
train/Running.npy,"With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough."
train/Running.npy,"chains are rattling, as horse is moving, then man coughs"
train/opening and closing a loft door.npy,"A man moves from the basement to upstairs, moving a heavy metal object with him."
train/opening and closing a loft door.npy,"Somebody slides open a heavy object or doorway, then continues walking."
train/opening and closing a loft door.npy,Someone closes the garage door and then walks upstairs.
train/opening and closing a loft door.npy,Someone slowly slides open a heavy screen door and then proceeds to walk down the hallway.
train/opening and closing a loft door.npy,wooden rod beating sound and pushing some heavy material sound
train/Breaking Glass .npy,"A person shatters multiple glass objects, and then bangs on things."
train/Breaking Glass .npy,"Breaking glass, maybe a bottle, eight pieces of window or a conservatory with repetitive strikes on the glass objective"
train/Breaking Glass .npy,Plates break loudly as they are dropped to the floor.
train/Breaking Glass .npy,The tinkling glass sounds after bottles are thrown and broken.
train/Breaking Glass .npy,the sound of glass breaking and falling onto the floor
train/arsta.npy,Storm wind blows in the dense forest and makes a peaceful sound.
train/arsta.npy,Storm wind blows in the dense forest very nice sound
train/arsta.npy,"The wind is so strong, it is blowing at a high altitude."
train/arsta.npy,Wind and rain point to signs of a hurricane.
train/arsta.npy,Wind is blowing and bursting at a high altitude.
train/Dog splashing in a lake.npy,"A dog jumped into the water and swim and then came out panting, it shook its body"
train/Dog splashing in a lake.npy,"A dog pants, jumps in water, and shakes the water off."
train/Dog splashing in a lake.npy,"A dog wearing a chain collar runs towards a pool, swims through it, and returns, then shakes the water off."
train/Dog splashing in a lake.npy,"A dog with chain collar runs towards a pool, swims through and returns to shake the water off."
train/Dog splashing in a lake.npy,"Jumping into the water to swim, the dog came out panting and shook his body."
train/20100402.Brugge.street.04.npy,A group is in a carriage that is being drawn by a horse on a paved road.
train/20100402.Brugge.street.04.npy,A group of people socializing and a horse trotting in the background.
train/20100402.Brugge.street.04.npy,A throng of people are socializing as a horse trots by in the background.
train/20100402.Brugge.street.04.npy,"Several people talking and laughing, with a horse passing along in the background."
train/20100402.Brugge.street.04.npy,"Several people were talking and laughing, with a horse is passing by along in the background."
train/DOOR_sliding_fthrll.npy,A loud foot stomp interrupts the rhythmic use of the old adding machine.
train/DOOR_sliding_fthrll.npy,A mechanical device is being rattled loose while making plastic noises and thuds.
train/DOOR_sliding_fthrll.npy,An old adding machine clattering and a foot striking against a hard floor.
train/DOOR_sliding_fthrll.npy,Someone closing drawers of folders being pushed back.
train/DOOR_sliding_fthrll.npy,mechanical device being rattled lightly with plastic noises and thuds.
train/20110220_river.npy,A boat rises above the large waves while a person yells something.
train/20110220_river.npy,Background voices were present during the wind furiously and continuously rustled and blew.
train/20110220_river.npy,It is easy to sleep when a lot of rain from a storm hits the top of a country roof.
train/20110220_river.npy,People are floating down a river in a plastic boat while talking to each other.
train/20110220_river.npy,Water running over a waterfall with a frog croaking in the background.
train/20130723_Rain1.npy,A car honks from the midst of a rainstorm.
train/20130723_Rain1.npy,A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.
train/20130723_Rain1.npy,Rain from a rainstorm is hitting surfaces and a car honks
train/20130723_Rain1.npy,Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.
train/20130723_Rain1.npy,The rain is coming down hard and a horn blows in the distance.
train/SFX_001.npy,Beautiful pipe organ music is played before trailing off into silence.
train/SFX_001.npy,It is a peaceful instrumental keyboard melody with bell sounds.
train/SFX_001.npy,"Pipe organ music, beautifully played then trails off into silence"
train/SFX_001.npy,Unknown musical tones coming from some kind of electric musical instrument.
train/SFX_001.npy,a dull instrumental keyboard melody with bell sounds
train/steel water.npy,A person tapping a hollow brass bell indoors.
train/steel water.npy,A person taps a brass bell while inside.
train/steel water.npy,Different type of vessels are beaten with a stick to give different noise
train/steel water.npy,Different type of vessels are beaten with a stick to give different noise effects.
train/steel water.npy,Someone plays music on an metal musical instrument or device.
train/A swing is squeaking at night. (Ukraine.npy,A high pitched wind instrument is played over and over the notes make a high pitched squeal.
train/A swing is squeaking at night. (Ukraine.npy,A person plays the wind instrument making sharp shrill sounds terrible to listen to.
train/A swing is squeaking at night. (Ukraine.npy,"As a bus is moving, someone plays a flute."
train/A swing is squeaking at night. (Ukraine.npy,Someone was playing flute in a moving bus
train/A swing is squeaking at night. (Ukraine.npy,The flutist tunes his instrument before beginning to play.
train/Lively Forest Stream (loop).npy,A river flows and water trickles down the rocks.
train/Lively Forest Stream (loop).npy,"As the river flows, water trickled down the rocks."
train/Lively Forest Stream (loop).npy,"Raining really hard, street flooded, it did not look like going to stop."
train/Lively Forest Stream (loop).npy,Water drips slowly an continuously as a video is playing.
train/Lively Forest Stream (loop).npy,Water trickles down the rocks as the river flows.
train/Bangles put on arm.npy,A crystal and metal big lamp is being hung.
train/Bangles put on arm.npy,Metal balls hitting each other while they are being dropped into a glass bowl
train/Bangles put on arm.npy,"Metallic, distinguished objects are being put in place."
train/Bangles put on arm.npy,Small metal balls are hitting each other while they are being dropped into a glass bowl
train/Bangles put on arm.npy,a metal object is clashing with other metals.
train/AMB_Supermarket_BCN.npy,A cashier at a grocery store scanning items.
train/AMB_Supermarket_BCN.npy,A grocery store clerk is scanning some items of food.
train/AMB_Supermarket_BCN.npy,A grocery store clerk scanning some items of food.
train/AMB_Supermarket_BCN.npy,A scanner beeps as items are being run along it.
train/AMB_Supermarket_BCN.npy,"At a grocery store, a cashier is scanning items."
train/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.npy,A farm has several oinking hogs in it.
train/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.npy,A few pigs are oinking while a child is speaking in the background.
train/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.npy,A lot of pigs oinking in the background
train/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.npy,Hogs oinking in an enclosure with faint noises of people talking in the background.
train/Pig - Multiple Snorts 6 (2 pigs) - 96kHz.npy,Pigs oinking while people chatter in the background.
train/Anti Air Gun (3 Sounds).npy,"A gun starts shooting continuously, a second and third gun join in after a few seconds."
train/Anti Air Gun (3 Sounds).npy,A single gun being to shoot repeatedly and is shortly followed by a second and third gun.
train/Anti Air Gun (3 Sounds).npy,Pounding slowly then at a solid pace similar to rapid gunfire.
train/Anti Air Gun (3 Sounds).npy,Three people are playing video games and firing machine guns.
train/Anti Air Gun (3 Sounds).npy,different gun shot constantly and another set of gun shot back
train/City Ambience w_ Car Passing_1-2.npy,A truck drives down a road before fading into the distance.
train/City Ambience w_ Car Passing_1-2.npy,A truck driving down the road before disappearing.
train/City Ambience w_ Car Passing_1-2.npy,A vehicle has drove past a quiet environment .
train/City Ambience w_ Car Passing_1-2.npy,"An engine rumbles, splutters slightly and fades into the distance as it passes."
train/City Ambience w_ Car Passing_1-2.npy,An engine splutters and rumbles slightly and fades into the distance as it passes.
train/Goin wee wee.npy,A person noisily uses and then flushes a toilet.
train/Goin wee wee.npy,"Someone first noisily uses, then flushes a toilet."
train/Goin wee wee.npy,Someone urinated into the water closet and flushed it
train/Goin wee wee.npy,Someone was urinating into the toilet with water and then flushed it.
train/Goin wee wee.npy,Water slowly drips before moving into large splashes before a giant flush.
train/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.npy,A car engine getting louder and tires moving over crunching gravel.
train/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.npy,"A car rides down a gravel driveway, gains speed and exits onto the street."
train/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.npy,"A car riding down a gravel driveway, gains speed and moves onto the street."
train/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.npy,A vehicle is maneuvering on gravel and then drives away.
train/Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.npy,A vehicle maneuvers on gravel before driving away.
train/Baby crying slowed down.npy,"A creature grunts like human, mumbles as time progresses."
train/Baby crying slowed down.npy,A person is struggling in distress and making noises gasping for air.
train/Baby crying slowed down.npy,A person is struggling in distress and making noises to gasp for air.
train/Baby crying slowed down.npy,Human vocal chords are poorly imitating a farm animal.
train/Baby crying slowed down.npy,Human vocal chords imitate a farm animal poorly.
train/driving_buying_beer_on_sunday.npy,A guy is speaking with the screaming of a person in the background
train/driving_buying_beer_on_sunday.npy,A man is talking while looking at his phone and walking to his car.
train/driving_buying_beer_on_sunday.npy,A man talking and looking at his phone while walking to his car.
train/driving_buying_beer_on_sunday.npy,Children yelling in the background and a voice complaining in the foreground at a car wash.
train/driving_buying_beer_on_sunday.npy,In the foreground a voice complains at a car wash and in the background children yell.
train/pc_mouse.npy,A bored person is tapping and rubbing their fingers on a tabletop.
train/pc_mouse.npy,A person tapping their fingers on desk and cracks their knuckles.
train/pc_mouse.npy,Someone cracks their knuckles after strumming their fingers on a desk.
train/pc_mouse.npy,The flow of the wind and taps on a microphone and a channel being tuned.
train/pc_mouse.npy,wind blowing sound and tapping on microphone and tuning the channel sound.
train/metro underground ambient noisy transport catalan barcelona minimal tickling glitch.npy,A public transport alerts its passengers and states something.
train/metro underground ambient noisy transport catalan barcelona minimal tickling glitch.npy,An airplane speaker tells something to passengers with talking in the background.
train/metro underground ambient noisy transport catalan barcelona minimal tickling glitch.npy,An electronic voice makes an announcement to a group of people speaking.
train/metro underground ambient noisy transport catalan barcelona minimal tickling glitch.npy,Warning sound and an announcement on public transportation
train/metro underground ambient noisy transport catalan barcelona minimal tickling glitch.npy,some people are talking followed by an announcement
train/hugeSlidingDoorSlamECM800.npy,Somebody hammers wood while another opens and shuts a major sliding entryway.
train/hugeSlidingDoorSlamECM800.npy,Someone hammers wood while another opens and closes a big sliding door.
train/hugeSlidingDoorSlamECM800.npy,Something knocked the door and it was closed and silenced before the thing knocked it again
train/hugeSlidingDoorSlamECM800.npy,Tapping on a door followed by silence for awhile and then an door opening and closing.
train/hugeSlidingDoorSlamECM800.npy,tapping the door sound followed by an idle sound and door open and close sound.
train/Boa Constrictor.npy,A butane fire roars to live and fades out and then fades back into life
train/Boa Constrictor.npy,A flame from a welding iron is turned on and off.
train/Boa Constrictor.npy,A person using a hose to clean something.
train/Boa Constrictor.npy,A welding iron flame is being turned on and then immediately turned off.
train/Boa Constrictor.npy,Someone cleans a hard surface using a hose.
train/bohinj_forestFootsteps.npy,A small fire crackling and footsteps of the user in a wooded area.
train/bohinj_forestFootsteps.npy,Birds chirp as footsteps come near then walk far away.
train/bohinj_forestFootsteps.npy,"Footsteps approach, then go away, as birds chirp in the area."
train/bohinj_forestFootsteps.npy,"Out in nature, birds singing, steps staring to move on the ground"
train/bohinj_forestFootsteps.npy,"Out in nature, the birds sing, steps start to move on the ground."
"train/Uh, Hi, Mom. I Crashed the Car.npy",A man is speaking at a very slow pace.
"train/Uh, Hi, Mom. I Crashed the Car.npy",A man is talking to someone about something.
"train/Uh, Hi, Mom. I Crashed the Car.npy",A man is talking in a nervous manner.
"train/Uh, Hi, Mom. I Crashed the Car.npy",A person speaks but mumbles over their words nervously.
"train/Uh, Hi, Mom. I Crashed the Car.npy","A person speaks, with a weak cadence to their words and voice."
train/Busy Coffee Shop.npy,A coffee machine operates as people converse in the background.
train/Busy Coffee Shop.npy,A coffee machine preparing coffee while people talk in the background.
train/Busy Coffee Shop.npy,A milk shaker filling up is accompanied by various scratching noises
train/Busy Coffee Shop.npy,People talk together while another person fills a container with water.
train/Busy Coffee Shop.npy,Someone filling a container with water while others are talking.
train/Water Pour and Drink.npy,"A person fills up a glass with a beverage, then quickly chugs it and breathes heavily"
