file_path,caption
train/Y3qPBmioT8Fo.npy,"A dog is whining and whimpering, and an adult male is speaking"
train/Yog_JH9cxUeg.npy,Small frogs croak and chirp
train/Y3qNSaQnzWUs.npy,"The wind is blowing, a horse is trotting, and an adult male speaks"
train/Y3qKmsP6BPXM.npy,A car engine revving
train/Y3qOswVO4sb0.npy,A man is speaking
train/Y3qOK68-L2cU.npy,"An aircraft begins its takeoff, buzzing of small engines"
train/Y3qA8qMYz3Xw.npy,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks"
train/Y3q94RIeQJ9Q.npy,"An adult female speaks, tapping occurs, and a dog barks"
train/Y3qKKDuwStA8.npy,A person is speaking and crumpling paper
train/Y3qC6_t1bjjw.npy,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
train/Y689OVglGxKE.npy,A vehicle revs then explodes while a crowd cheers and an announcer exclaims
train/Y68AJ_1alYNg.npy,Man speaks while bees buzz
train/YxpRBnXZnRm0.npy,A man speaking followed by crinkling
train/YYkWrXaJNpn4.npy,A power tool hums and vibrates
train/YxpF_Jeaj7cs.npy,"A man speaking followed by a swoosh then a loud splash, then a man laughs"
train/YYkQ12wpHeUc.npy,Several birds tweet
train/YxpCI-rEY1kM.npy,A woman speaking with music playing and a toilet flushing
train/YxpE3LXuhJS8.npy,Vibrations and humming of a power drill
train/Y67qTV1MDXhc.npy,A bell chiming
train/Y67r_mSftdjk.npy,A woman giving a speech
train/Y67rvn9HIZsM.npy,The chirping of multiple birds accompanies gurgling water and crunching footsteps
train/Y67tVU2CeweE.npy,A domestic bird whistling
train/Y67yhKQpwvjo.npy,"People speak followed by spraying, then a phone rings"
train/Y67zyxZb-wQM.npy,A round of applause followed by a woman speaking
train/Y6813SgG-6Rk.npy,A door creaks open slowly
train/Y6850oZZoeb8.npy,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
train/YXbTazhNR5Cc.npy,A kid talks followed by a woman talking while several people laugh
train/Y3JNjTAf04rc.npy,People are talking and pig oinks
train/Y3JLBP8VnukU.npy,A dog whimpers repeatedly
train/Y2i8L8v2NTsY.npy,A man gives a speech
train/Y2i8w_CZEprk.npy,"Water flowing, wind blowing, a dog whimpers"
train/Y3JAjNVImec4.npy,People cheering and race cars racing by
train/Y2i82jVZy1pk.npy,"Some unidentified low sound, followed by a child laughter and a female chuckling"
train/Y3J9nGJ5dmsI.npy,Motorcycle driving away at high speeds
train/Y3J7NzRVaixM.npy,"The wind is blowing, an engine runs, and tires squeal"
train/Y2hyT23nJm_4.npy,"A female speaking, then a baby babbling, then a female cheering and clapping, followed by another female laughing and speaking"
train/Y2i-sTS4rNgs.npy,A big engine is sitting in idle
train/Y2hxTX4mb0bY.npy,"An adult male is speaking, a motor is running, rhythmic vibration, and water is gurgling"
train/Y2hxyWkenHI4.npy,"A rapping sound is present and is echoing in a room, and people in a crowd speak in the background"
train/YyuqiS8rSp64.npy,Humming and whooshing of a helicopter hovering close
train/Y8Cscq1H9Lng.npy,A vehicle driving and accelerating
train/Y8Cpw8deghns.npy,Crinkling noise followed by a man talking
train/Y8ClpqdlMMTE.npy,A small dog whimpering and howling
train/Y8Cpu6HuZppw.npy,Someone suddenly sneezes out loud
train/Y8CpkuIJ1aQg.npy,An adult male is speaking informatively
train/Y8CdmbbBcx14.npy,A kid speaking and another kid talks in the background
train/Y8C_A2FOG02E.npy,Bell chiming with a vehicle starting up
train/Y8Cl-_ONJOes.npy,A man is talking
train/Y8Cex_va7-8U.npy,"A horse walks, some wood creaks, and a man talks"
train/YixaVHv5vqlw.npy,"An adult female snickers quietly while faint snoring is ongoing, and random quiet metal clinking occurs"
train/Y77fe_-5zCmM.npy,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs"
train/YLkXhkR4lTS4.npy,A person talking the entire clip
train/Y77eV2YFJwgc.npy,A gun is cocked and fired rapidly and cartridges ping against the floor
train/YLkXILk5okJg.npy,Some liquid flows while kitchenware hits
train/YLkPH8_fJ7Ls.npy,A male child speaks and plastic crumples and crinkles
train/YLkQIhNz1o9Q.npy,Someone types on a keyboard
train/YLkNOOWFKHD8.npy,Water splashing and gurgling as people talk
train/YXB-lOd-HH1o.npy,A man talks while different birds tweet
train/YRmAsVtD8qzw.npy,A train hiss loudly
train/Y77_C3AMGp1k.npy,Water is filling a basin and a young man is speaking
train/YNnt49h9kSuQ.npy,A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container
train/Y77ZFT8HuVq0.npy,"A boat motor is running and then accelerates, and water is splashing"
train/Y77YX1V-mPcY.npy,Water is flowing making bubbly sounds and splashing around
train/YNnv7ImgNAEg.npy,Continuous hissing with bells and a horn honking
train/Y77W8716C44A.npy,A frog croaking
train/YMgHh1iN_8fk.npy,A sewing machine operates with squeaking sounds followed by knocking
train/YUA5_5uj4iIw.npy,"The whir of machine motors, the clacking of wooden boards"
train/Y77VHwpyq6xo.npy,A dog barks while people speak
train/YU9ySkH80BU8.npy,Someone speaks as water runs into a sink
train/YNo4tP84-NvI.npy,Clanking with brief speech
train/YqNsnip5tvsg.npy,A person talking as a crowd laughs
train/YXASclzoqguI.npy,A woman talks followed by sizzling and frying of food
train/YqNxytjnLbOE.npy,A train engine is running and rhythmically chugging
train/YqO0P57aZBiw.npy,A steam engine running on railroad tracks as steam heavily hisses
train/YqOA4vLvHHn8.npy,Dogs growling while a woman is talking followed by dogs barking
train/Yqzy-KWlmlgc.npy,A spray is triggered
train/YRmF5uH_SuKQ.npy,Several engines work in idle nearby
train/YKLGJt-Q65RA.npy,Small birds chirping with people speaking
train/YkZ6h5EYl6fs.npy,A large engine roars and someone is shouts a loud short rout
train/Y4I2KlSyijz4.npy,Men talk while an audience laughs and water runs from a faucet
train/Y4IF49XmNCaw.npy,"A toilet flushes, water flows"
train/Y4HtkTDr342c.npy,A man is speaking and water is gurgling in the background
train/Y4HxIyosr-AM.npy,A man is narrating while instrumental music plays and a plane engine sounds
train/Y4HrtJcJc174.npy,A woman is giving a speech
train/Y4Hs1yZu1GAU.npy,Food is sizzling dishes are clanging together and a woman is speaking
train/Y4HzAuSA8Syk.npy,"People talking in foreign language, train horn"
train/Y4I0SfHz97Ag.npy,"People applaud, and a man speaks"
train/Y4Hy1t6KBY4o.npy,Vehicle drives and honks its horn
train/Y4Hz53AafH7s.npy,Motor slowing down
train/YRX7gmpgfnYs.npy,A man is talking and spraying something
train/YRXE39pZXG3M.npy,A few slams are followed by referee whistles
train/YRXE4HGOTQWI.npy,Phone ringing then two men speaking
train/YEN_D3UzTfqE.npy,"An engine vibrates loudly nearby, and then wind blows"
train/YRXNZ-0Wteno.npy,Vehicle traffic with a distant horn honking followed by a louder horn honking
train/YRXPij7peR3I.npy,Singing followed by a man speaking then a bang
train/YtdWWY6SoqlY.npy,A bus slows down and its engine decelerates quietly
train/YtdUv86s7PMw.npy,An engine works while some frogs croak
train/YtdZk4rxpSlc.npy,Whimpering and long yipping.
train/Ytdfz7W9xNIw.npy,Loud wind noises and a car horn and a person talking at the end
train/YWxuCynzEntQ.npy,Metal clangs together in an enclosed space
train/Y7XQZvjD_Ww0.npy,A small motor is vibrating consistently
train/Y7XSDamG_R38.npy,An engine is attempted to be started up and then starts and idles
train/YISTN_64MVnA.npy,An electronic bleep beeping repeatedly
train/Y7XCSZi0rS5E.npy,A baby laughs and a man speaks
train/Y7XCaCkHgkZM.npy,A cat is meowing over and over
train/Y7X3i7llSK9U.npy,A train is blowing its horn as it passes by
train/Y7XAySrozWrk.npy,People in a small room are chanting and singing
train/Y7XKwZAmhdrg.npy,A bus engine idles and people are having a conversation
train/Y7XL--db_qQ4.npy,A bell is ringing and a train blows its horn twice long and hard
train/Y7XChPEYFWpA.npy,People are talking and bees are quietly buzzing in the background
train/YL5gAhon3a68.npy,A person speaks and a small RC engine spools up
train/YL5fq5D1Uces.npy,As the wind blows steadily a bird sings and an engine goes by
train/YIs4oH0_g21U.npy,A sheep bleats and some objects hit
train/YIryLRJ2P_qQ.npy,An insect buzzing intermittently
train/YIs0jFNep7kY.npy,Fast rubbing followed by speech
train/YCEzwcZnypSY.npy,A man speeches while a crowd whispers
train/YCEgyXSAygiw.npy,"Explosions, gun fire, and popping and whizzing sounds"
train/YCEggxDcgEHc.npy,Metal clashes and a man speaks
train/YCEnhuZ5Rm_Q.npy,Birds chirping and rustling
train/Y-RMYdwOv3Mo.npy,A guy is speaking followed by some ceramic sound
train/Y-RMHRmd5utQ.npy,Continuous mechanical beep
train/Y-RLhcWjOd1E.npy,Animal noises and whimpering
train/Y-RKs4NoVRms.npy,A woman sneezes before describing the side effects of her cold
train/Y-RIXNh-i88E.npy,Woman speaking while a pan sizzles
train/Y-RH8_ZSbHhc.npy,Chatter and then a car horn beeping
train/Y-RFRH50Qobg.npy,Train horn tooting multiple times
train/Y998RhGRlp1c.npy,Rain hitting the roof
train/Y995vcjHHtZc.npy,People are being pushed back on her own
train/Y994l_hUXlCM.npy,"A group of birds cheep, a man speaks"
train/Y5yAi2mLckGE.npy,Two woman speak while ducks quack in the background
train/Y98yzDuNZqjk.npy,A boat or vehicle engine running steadily
train/Y-ROt5_xhcyo.npy,Vibration and noise of a working motor
train/Y-RNPQI3AJMw.npy,Rapid gunfire and gunshots
train/YB9JPdSzZXvc.npy,A door is sliding open
train/YB9J303z3ICM.npy,A flushing of water and people talking
train/YB9Hlx2G4ADc.npy,An idling engine sound is followed by an engine revving
train/YB9F7ijiMaxs.npy,Children are speaking followed by laughter
train/YB98GzVyBEH8.npy,"A man speaking in the distance with traffic passing in the distance, then a man speaks nearby and a door opens"
train/YB97t6blNHnA.npy,An engine idling consistently
train/YB94vwFIqTUQ.npy,A man speaks and types
train/YB9-LyMdFE4I.npy,Sanding and cracking
train/YB8xK_lJFsRw.npy,People speaking on a moving bus
train/YB8t0JMx0vyk.npy,Water pours out onto a surface
train/YwEXFa9wRSn0.npy,International music plays as water pours into a pot and finally some splashes
train/YUrSXp3cd3tw.npy,Humming of engines with some clicking and crackling
train/YwEDtBaumjH8.npy,A train horn sounds then someone laughs
train/YwEDditLGJwg.npy,"Several small shuffles of hard objects knocking, followed by loud explosions interspersed by a grown man chuckling"
train/Y5y4pi2ShzhY.npy,A explosion and a man speaking
train/Yw5xqAI6Ev40.npy,Clanking followed by a toilet flushing and then some more clanking
train/Y4C2yBknu3ZM.npy,Church bells chime loudly and repeatedly
train/Y4C-Abooz-OA.npy,The engine of a small machine pulling chains
train/Y4BwQL9lW7A4.npy,A vibrating noise
train/Y2Qh9AFPNq50.npy,A dog is barking people are talking
train/Y4C6JkAoRyVk.npy,A horse neighs and birds chirp outside
train/Y4C5_pfsrp3Q.npy,Birds are flapping their wings and some bird call
train/Y4C4dfeDruIw.npy,A person snoring
train/Y2QZSUAQMHqk.npy,Motor running followed by faint murmuring and gunshot
train/Y2QXhTsNhzIQ.npy,"A distant train horn, followed by the clickety-clank of the train on the rail"
train/Y4C7zRL0dVgE.npy,An aerosol is sprayed
train/Y4C7XyQgZ_8I.npy,A thump noise and a bird chirps
train/Y2QTH4_WQlgg.npy,A toilet flushes and then woman laugh in the background
train/Y2QLhxtgqvU8.npy,"A man speaks followed by electrical hums, some clicking, and liquid being poured"
train/Y2QXBc5C7Ut0.npy,Female speaking followed by child speaking
train/YrsfXfpnLfeE.npy,Frogs croaking and chirping
train/YePDemSpE3Ho.npy,Continuous emergency sirens and horns
train/Yrt-0CEbzL2k.npy,High pitched continuous ringing followed by clanking and rustling
train/YrsrZOjkQ3rY.npy,Rubbing and scraping followed by a soft power tool drilling then a louder power tool drilling
train/YrswivgQdpFA.npy,A child and man speak then whistle
train/Yrt0-hh8NqSo.npy,Roosters crow and wings flap
train/Yrt0Ksg7zpow.npy,"An engine revs, tires squeal, a car accelerates into the distance"
train/Y_-sns7INCWo.npy,Rustling together with male speech and white noise
train/YmZRsCN0ygaM.npy,Water running followed by paper ripping
train/YR8z8J9klk70.npy,A camera is shuffled and a clang occurs
train/YOzmtIGIsh7Y.npy,A man is speaking then a sewing machine briefly turns on and off
train/Y_0GMVllsIy4.npy,A pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds
train/Y8xfX6p4e1ZI.npy,Clip-clop of a horse trotting by
train/YOzvXPl848dw.npy,A man speaks with some dry scraping and sanding
train/Y8xah8J3bWis.npy,A man and a woman talking as a telephone is ringing
train/Y5yFBvLbq1XA.npy,Water running from a faucet
train/YRbrSbC-bGY0.npy,Wind blows and birds tweet
train/Yoy-nvX8f8nY.npy,A drill runs continuously
train/YSUF1l9xmZ-A.npy,An engine revs very close by and then idles rickety
train/YSUTOf4oOJRE.npy,A loud engine idling
train/YSUNjVhN08fE.npy,A man speaks as water flows down a stream
train/Y8j7q3t8ie10.npy,Moving of objects followed by a beep
train/Y8jF5KAS1LkI.npy,Females speech followed by a sewing machine in operation
train/Y8j6uc8DEzWA.npy,A man is speaking and loud bangs happen
train/YkxY_Asbi1wI.npy,Water moves around and splashes loudly as a man grunts at the end
train/Y8j5gWsCQ3_4.npy,A woman speaking and crowd cheering
train/Y8j69QB0y4Cw.npy,A vehicle driving by quietly and slowly
train/Y8ixP67tAOXs.npy,Vehicles are racing by at a fast speed
train/Y8j-jFjOn_4A.npy,Wind is blowing and woman is laughing
train/Y8itRcDYjTiw.npy,A man talking and traffic driving
train/Y8itzyk-WgP0.npy,A frog chirps and other frogs and crickets chirp in the background
train/Y5MVE73rP6R8.npy,A large engine hums and speeds down a roadway
train/Y5yAnVjPDShU.npy,Sirens ring out and cars speed by in the background
train/Y5MSE1-YlVfc.npy,A woman speaks followed by laughter and a cat crying
train/YW8BDM_jth3Y.npy,A man speaks and a computer keyboard is clicked
train/Y5MXhhFv6AMo.npy,A toilet being flushed
train/YIU9Z_7GsYNM.npy,Wind blows in a tunnel
train/Y5MWchKu240k.npy,Dog continuously barking while middle aged woman vocalizes in distinct accent and laughs
train/Y2KLSmeAXUHU.npy,An engine is revving up
train/YmZCsDKLUDQY.npy,Motorcycles pass by loudly as people talk nearby
train/Y5MIXgA43C0M.npy,"People speak, some splashing and clapping followed by laughing"
train/YZ9yyGhM_9qw.npy,Buzzing of nearby insects with distant quacking and faint speaking from a nearby man
train/Y5MRDu6qgla0.npy,A crowd of people are talking and a police siren goes off loudly
train/YfXUT4w2jCWs.npy,An engine sound is followed by the sound of helicopter blades
train/Y5MQaessPo-0.npy,Multiple car engines run
train/YZ9aB-SFDnwk.npy,"A man talks nearby, followed by a door closing, after which the man continues to talk"
train/YMDW5VlmaGjA.npy,A vehicle engine revving and accelerating while driving by
train/Y-8v6KSVvQrc.npy,The man is speaking and the backside spray sound
train/Y-8uTrn1Y85U.npy,Ducks are quacking and an adult female speaks
train/Y-8tskHwTfcQ.npy,The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause
train/Y-8sR1D7oCic.npy,A race vehicle is accelerating its engine
train/Y-8ysWJSrITc.npy,She is talking
train/Y-8yNBmjX1bE.npy,Women speaking followed by children speaking
train/Y-8yCp5GagJA.npy,The water tap was running water out of the faucet
train/Y-8xXKLBLOnc.npy,A drill motor is running
train/Y-8zyGG5y3io.npy,"A woman speaks to a crowd, some camera clicks"
train/Y-8z7eJDWf9U.npy,A vehicle engine idles roughly
train/YsN5B3nfGlZY.npy,Someone is typing keys on a computer keyboard at a fast pace
train/YgW4iTnEvqHA.npy,"A car engine hums nearby, and then people talk quietly"
train/Y5MXtSBsWrGs.npy,An engine is being switched on
train/Y0UlteOknFwI.npy,Dog snuffling and panting
train/Y0UlXhWYb9Js.npy,A whistle blows then a car comes and passes very fast
train/Y0UlaI-oeITg.npy,The cars are passing by
train/Y0UjmiLcmMa8.npy,A toilet flushing away water while a bathroom stall door makes noise
train/Y0Ukop25AhEc.npy,A loud long burp is followed by a laugh
train/Y0Ui0shNtHfY.npy,"Water is running and gurgling, and a female speaks in the background"
train/Y0UjUkHszzZ4.npy,An adult male speaks and a medium vehicle engine starts up
train/Y0Uf85Z4A7t4.npy,Someone crying with dog barking and woman's voice in background
train/Y0UhqGLU3zac.npy,Vehicle spinning tires in place
train/YTu0-doXRwUk.npy,Rustling followed by a toilet flushing
train/YxiEIyeo6R7o.npy,A vehicle engine slowly accelerates
train/YTuIfnuhmDq4.npy,A couple of sequences where a computer-generated voice is followed by typing
train/YTuIQg2cJqAs.npy,A child sneezes repeatedly
train/YUcYa-1k0Nvc.npy,Steam following by a slide whistle
train/Yxi5tZADVwcw.npy,A man speaks and bees buzz
train/Yxi7oWgo-wqM.npy,High pitched screeching followed by rustling and some croaking
train/YhUViJ9zgHKw.npy,Something squeals in protest and then something is clanked
train/YQ4ph8Eyq2Pw.npy,A person talks nearby as an engine idles nearby and wind blows
train/YVWLLeNYvxII.npy,Paper crackles nearby as it is manipulated
train/YVWNo6X7aecQ.npy,A race car is driving as a man talks
train/YVWBLKuEA6EY.npy,A vehicle engine is accelerated and a man speaks
train/YO9tPTmjH_hY.npy,"Ambient water noises, followed by electronic motorboat engine"
train/YVWKCKIx5vAA.npy,Water dripping and gurgling
train/Yaad-tAx1DU0.npy,A machine works
train/YdtkT2VYNgXA.npy,Birds chirping and a person whistling
train/Yx2ZyKE89nzw.npy,"A child breathes hard, coughs, and then cries"
train/Y8MvVwaGPKnI.npy,"Birds are chirping, crickets are chirping, rustling occurs, and an adult male speaks"
train/Y8MxxgRV8o7U.npy,"An adult male speaks, water runs, splashes and gurgles, and a thump occurs"
train/Y8MzdJUn9n8U.npy,A car starts up and is revved
train/Y8N-sgJB6Ias.npy,A man is speaking followed by a thud
train/Y8N0pMDO4hsQ.npy,"Approaching vehicle with blowout, birds in background"
train/Y8N4KO96rkdU.npy,Water crashing and small person talking
train/Y8N5c7JZmKGs.npy,"Traffic is audible, a motor vehicle passes by, and slight clicking occurs"
train/Y8N5eETeI8Z0.npy,"A child cries, a woman speaks, cat shrieks and the child cries more"
train/Y8NAMpUl01ug.npy,Wind blowing hard followed by two men talking in distant ending with a frog croaking
train/Yxodr5wnFQvs.npy,Traffic revs up far in the distance
train/YxobSVmWsS3M.npy,A back and forth sanding noise
train/YxoeIYiJsPy0.npy,A helicopter whirs consistently
train/YxoeGfFrOSec.npy,A man talks while a model airplane flies
train/YTVWqe2XM0o8.npy,Men speak with splashing water
train/YTVDvmHlcGm0.npy,A door opens up nearby
train/YTVdoDP96590.npy,High pitched whistling following by low whistling
train/YbDrPO37cp6M.npy,A machine works while wind blows strongly followed by a siren being triggered
train/YDKM2KjNkX18.npy,A man speaks and types on a keyboard
train/YSdzaTL0aJXc.npy,Wind blows and people laugh followed by a horse neighing
train/YxzCbpSQgdpI.npy,A car engine accelerates followed by a beep
train/Y7P8x9GIvRJA.npy,A woman is narrating in a foreign language
train/Y5siQ3K31KeI.npy,"Sewing machine going, then stopping and starting up again"
train/YfMGNky979o4.npy,Continuous digital beeping
train/Y5siKASaXYTU.npy,Numerous background noise of people and animals that end with an animal bellowing
train/Y1ijeSI4LOrU.npy,Birds are flapping their wings
train/Y1iiFj83VI7M.npy,"Squeaking occurs, two females speak and laugh, and a hoofed animal walks by"
train/YziUoP8L-zkA.npy,An aircraft engine running
train/YziO8CGRSZZ8.npy,Some clicks followed by a man speaking then some bangs
train/Y7PKDrv5WP9o.npy,A dog barks in concert with rhythmic thumping
train/YziG1mj5gTTo.npy,"An aircraft motor is running and buzzing, propellers are vibrating, and two adult males speak faintly in the background"
train/YdHJ0pK27t6k.npy,Food sizzling with metal clanging followed by clanking on a porcelain surface as an air ventilation system runs
train/Y1iYLIIMgINQ.npy,"A crowd cheers, a man speaks to them"
train/Y1iXLWRFE000.npy,An engine is idling
train/Y1ibgN7gv1bQ.npy,Pigeon makes lots of different sound
train/Y1iaEDqdYliE.npy,A man is speaking and cars are speeding by
train/Y1ie_mPvVJ4A.npy,A motorboat engine is in use
train/Y1icEOZdgkVY.npy,Infant crying frantically
train/Y1ihBVEOfaVE.npy,Birds chirping and people speaking
train/Y1ih1mXowz1U.npy,An animal is stomping its feet
train/Y2vSzoyYcFAA.npy,Woman giving a speech
train/Y2vNfb9JmJcQ.npy,A loud clicking and shuffling occurs
train/Y2vNYlboKPQg.npy,Car driving fast then braking
train/Y2vKxkciAFaM.npy,"A dog pants, shuffles and barks"
train/Y2vJVctVYbMo.npy,An older man is giving a speech
train/Y2vIXsl6gICw.npy,Loud engine attempting to get started
train/Y2vHhaU0k_4k.npy,The ticking and chiming of a clock
train/YHDkT9w96tnY.npy,"A musical instrument bleeps, and then a machine beeps loudly several times"
train/Y7PQhq0YjusE.npy,Wind is blowing and dog is panting and whimpering gently
train/Y2vTVb3LhxXE.npy,Clanking of dishes in the background while an older man speaks
train/Y2vTS31IeyOY.npy,Papers rustling
train/Y9SwqisZFZr8.npy,Television plays in background then a young child sneezes and speaks followed by an adult woman who speaks
train/Y9Sxy1AlWmB8.npy,A bell chimes several times
train/Y9SvCis6IdgU.npy,"Man laughing and talking, whistle and engine revving"
train/Y9SwGzhspGIs.npy,A woman speaking followed by a baby cooing
train/Y9Sn8mlDZ0zs.npy,Wind blowing in a microphone and a group of people talking
train/Y9SpP079VAYw.npy,A man is snoring loudly
train/Y9SkN9u22uhE.npy,Engine idling quietly with light wind
train/YnrbgVzLPpdQ.npy,Vehicles pass and the wind blows
train/YGXPeyqXZfyM.npy,Motor vehicles are racing and skidding
train/YjnPD-M9kIm0.npy,A machine runs very loudly
train/YjCTsyQRkwhg.npy,An idle vehicle engine followed by a musical horn honking then a truck accelerating
train/YUOdw1xsTQFU.npy,A bell rings and a train passes nearby
train/Yrf6ZMK2V3mM.npy,Birds tweet and vocalize
train/YVTuEzCUFTdE.npy,Clanging sound then a toilet flushing
train/YVU-1nxT7YPU.npy,Some surface is hit by a metallic tool
train/YiJXDHdIpB_k.npy,"A man speaks, then lots of clicks and rustles and a pig squealing"
train/YUmyx9TCiAS0.npy,Someone is snoring softly and there is a light static and a voice in the background
train/YUmzfsnxjAVk.npy,Typing on a computer keyboard followed by a man speaking then plastic cranking
train/YUJ-2WuTunkE.npy,A man talks and types on a keyboard
train/YEPSPjAR8ztY.npy,A crowd applause loudly nearby as a person talks in the distance
train/YEPNr68hknvw.npy,"In a quiet environment, an adult male is speaking"
train/YxzMxL-HwhFw.npy,Several birds tweet while a man talks
train/YRaJx8et3wo8.npy,Vehicles passing by with a loud horn honking continuously
train/YtC9f6uvVKZc.npy,An emergency siren powering down followed by audio hissing and muffled metal clanging
train/YObnqwJxrbcI.npy,Some laughs lightly
train/YaIi_i_Bt510.npy,A vehicle engine idling
train/YaIjQkQ36AVQ.npy,A person sucks air and belches very loudly
train/YEPCTznmNcNw.npy,Telephone ringing followed by a woman speaking
train/YaIS31DyFpDg.npy,A car accelerates and skids
train/YaIbQ6eQ67GA.npy,A man speaking with a distant boom of a jet engine
train/YzVy9pETn6oI.npy,Rustling with distant people speaking followed by a girl speaking
train/YzW46UonugXU.npy,People are in conversation and laughing
train/Y_b_dv4jK9vI.npy,Humming and sputtering of an idling engine revving
train/YpOwNRM3BM_w.npy,Water running continuously
train/YtTvvPOTmImA.npy,Click clack then bell ringing
train/YgqzRsP0mwsc.npy,A baby cries loudly as a woman grumbles
train/YjuJgS5-ddRU.npy,Church bells ring in the distance multiple times as people talk nearby
train/YxpUT30qUUaI.npy,Rustling and white noise followed by a sneeze
train/YxpWWXLTXMaA.npy,Gunshots ring out and an explosion occurs
train/YCUvDaVFQ0sg.npy,A woman speaking and dishes clanking
train/YCYJhs2CPpQs.npy,Men speaking with distant traffic passing
